#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 2.179899376472219501e+02 -7.232847023387913410e+00 -8.663561617650726632e+00
-6.994791666666666963e+00 2.186007170864527609e+02 -8.750114370686757681e+00 -1.018151268758025019e+01
-6.989583333333333037e+00 2.186323846648828919e+02 -1.022781776045629343e+01 -1.166122214104770016e+01
-6.984375000000000000e+00 2.180975058285300463e+02 -1.163878905244174078e+01 -1.307546137228742822e+01
-6.979166666666666963e+00 2.170571254672346129e+02 -1.298968713708934075e+01 -1.443080098053127536e+01
-6.973958333333333037e+00 2.155409881565657599e+02 -1.459979622132215660e+01 -1.604645111813070102e+01
-6.968750000000000000e+00 2.135956815468491357e+02 -1.596407323970577607e+01 -1.741728486323986047e+01
-6.963541666666666963e+00 2.112648939275698012e+02 -1.708005062323310597e+01 -1.854075117282318175e+01
-6.958333333333333037e+00 2.086200406795751690e+02 -1.828723947712983033e+01 -1.975626552422728466e+01
-6.953125000000000000e+00 2.056834731161581544e+02 -1.964013529479878528e+01 -2.111825547685976900e+01
-6.947916666666666963e+00 2.025213830463410716e+02 -2.062677615834437361e+01 -2.211466945027659747e+01
-6.942708333333333037e+00 1.991658391240354149e+02 -2.146045510348612595e+01 -2.295872827016582107e+01
-6.937500000000000000e+00 1.956611472757124375e+02 -2.240431274972673492e+01 -2.391350882648893617e+01
-6.932291666666666963e+00 1.920604254944501008e+02 -2.330309615202802220e+01 -2.482368023196108098e+01
-6.927083333333333037e+00 1.883795364770305127e+02 -2.414953454012155731e+01 -2.568192117528255736e+01
-6.921875000000000000e+00 1.846486809393028352e+02 -2.486655792588062042e+01 -2.641110922919535398e+01
-6.916666666666666963e+00 1.809038817525706691e+02 -2.545889571045357158e+01 -2.701592114364053998e+01
-6.911458333333333037e+00 1.771678705590805123e+02 -2.630645773199296755e+01 -2.787622202807664706e+01
-6.906250000000000000e+00 1.734372650227476811e+02 -2.680153285594513335e+01 -2.838427401043901810e+01
-6.901041666666666963e+00 1.697549671086528917e+02 -2.732656498526081634e+01 -2.892247170893819330e+01
-6.895833333333333037e+00 1.661153962679874496e+02 -2.805582944414322455e+01 -2.966507310341576797e+01
-6.890625000000000000e+00 1.625332653384257640e+02 -2.835427917020794553e+01 -2.997700158054955821e+01
-6.885416666666666963e+00 1.590264549559466900e+02 -2.893817518039061198e+01 -3.057449164432061650e+01
-6.880208333333333037e+00 1.555917663787594734e+02 -2.940600917277900805e+01 -3.105601839752319648e+01
-6.875000000000000000e+00 1.522347198394774352e+02 -2.985372329794224200e+01 -3.151750825177552429e+01
-6.869791666666666963e+00 1.489577374165357924e+02 -3.026494932497625712e+01 -3.194257789872437314e+01
-6.864583333333333037e+00 1.457613691653576495e+02 -3.069207278337897549e+01 -3.238360247142502146e+01
-6.859375000000000000e+00 1.426562996604172042e+02 -3.103313049845830207e+01 -3.273860487942612707e+01
-6.854166666666666963e+00 1.396431522820570024e+02 -3.140321778843537714e+01 -3.312266985809074527e+01
-6.848958333333333037e+00 1.367119728842397990e+02 -3.173095142820433878e+01 -3.346441366737364120e+01
