#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 1.089949688236109751e+02 -3.616423511693956705e+00 -4.331780808825363316e+00
-6.994791666666666963e+00 1.093003585432263804e+02 -4.375057185343378841e+00 -5.090756343790125094e+00
-6.989583333333333037e+00 1.093161923324414460e+02 -5.113908880228146714e+00 -5.830611070523850081e+00
-6.984375000000000000e+00 1.090487529142650232e+02 -5.819394526220870389e+00 -6.537730686143714109e+00
-6.979166666666666963e+00 1.085285627336173064e+02 -6.494843568544670376e+00 -7.215400490265637679e+00
-6.973958333333333037e+00 1.077704940782828800e+02 -7.299898110661078299e+00 -8.023225559065350510e+00
-6.968750000000000000e+00 1.067978407734245678e+02 -7.982036619852888037e+00 -8.708642431619930235e+00
-6.963541666666666963e+00 1.056324469637849006e+02 -8.540025311616552983e+00 -9.270375586411590874e+00
-6.958333333333333037e+00 1.043100203397875845e+02 -9.143619738564915167e+00 -9.878132762113642329e+00
-6.953125000000000000e+00 1.028417365580790772e+02 -9.820067647399392641e+00 -1.055912773842988450e+01
-6.947916666666666963e+00 1.012606915231705358e+02 -1.031338807917218681e+01 -1.105733472513829874e+01
-6.942708333333333037e+00 9.958291956201770745e+01 -1.073022755174306297e+01 -1.147936413508291054e+01
-6.937500000000000000e+00 9.783057363785621874e+01 -1.120215637486336746e+01 -1.195675441324446808e+01
-6.932291666666666963e+00 9.603021274722505041e+01 -1.165154807601401110e+01 -1.241184011598054049e+01
-6.927083333333333037e+00 9.418976823851525637e+01 -1.207476727006077866e+01 -1.284096058764127868e+01
-6.921875000000000000e+00 9.232434046965141761e+01 -1.243327896294031021e+01 -1.320555461459767699e+01
-6.916666666666666963e+00 9.045194087628533453e+01 -1.272944785522678579e+01 -1.350796057182026999e+01
-6.911458333333333037e+00 8.858393527954025615e+01 -1.315322886599648378e+01 -1.393811101403832353e+01
-6.906250000000000000e+00 8.671863251137384054e+01 -1.340076642797256667e+01 -1.419213700521950905e+01
-6.901041666666666963e+00 8.487748355432644587e+01 -1.366328249263040817e+01 -1.446123585446909665e+01
-6.895833333333333037e+00 8.305769813399372481e+01 -1.402791472207161227e+01 -1.483253655170788399e+01
-6.890625000000000000e+00 8.126663266921288198e+01 -1.417713958510397276e+01 -1.498850079027477911e+01
-6.885416666666666963e+00 7.951322747797334500e+01 -1.446908759019530599e+01 -1.528724582216030825e+01
-6.880208333333333037e+00 7.779588318937973668e+01 -1.470300458638950403e+01 -1.552800919876159824e+01
-6.875000000000000000e+00 7.611735991973871762e+01 -1.492686164897112100e+01 -1.575875412588776214e+01
-6.869791666666666963e+00 7.447886870826789618e+01 -1.513247466248812856e+01 -1.597128894936218657e+01
-6.864583333333333037e+00 7.288068458267882477e+01 -1.534603639168948774e+01 -1.619180123571251073e+01
-6.859375000000000000e+00 7.132814983020860211e+01 -1.551656524922915104e+01 -1.636930243971306354e+01
-6.854166666666666963e+00 6.982157614102850118e+01 -1.570160889421768857e+01 -1.656133492904537263e+01
-6.848958333333333037e+00 6.835598644211989949e+01 -1.586547571410216939e+01 -1.673220683368682060e+01
-6.843750000000000000e+00 6.693443498556202087e+01 -1.605482527763330935e+01 -1.692857382862697690e+01
-6.838541666666666963e+00 6.554515878478447632e+01 -1.617765643656904828e+01 -1.705843066190015733e+01
-6.833333333333333037e+00 6.420430980848036029e+01 -1.633343656806246358e+01 -1.722124508252107233e+01
-6.828125000000000000e+00 6.291466752459233902e+01 -1.650951222869646173e+01 -1.740436038183515421e+01
-6.822916666666666963e+00 6.166415964064077571e+01 -1.663079566676728049e+01 -1.753268984918895868e+01
-6.817708333333333037e+00 6.045696202906353278e+01 -1.677891659853559858e+01 -1.768786190082613530e+01
-6.812500000000000000e+00 5.929165427494827867e+01 -1.691209656845210318e+01 -1.782809824527737774e+01
-6.807291666666666963e+00 5.816750271576256637e+01 -1.703887913680053856e+01 -1.796194256678223411e+01
-6.802083333333333037e+00 5.708477987753477123e+01 -1.716674430423594799e+01 -1.809687546429308469e+01
-6.796875000000000000e+00 5.604418301741977615e+01 -1.729004803974906324e+01 -1.822725358525467243e+01
-6.791666666666666963e+00 5.504455840872321204e+01 -1.740798815033261349e+01 -1.835227602490098064e+01
-6.786458333333333037e+00 5.408670968011848146e+01 -1.752318804780563966e+01 -1.847456732228345544e+01
-6.781250000000000000e+00 5.317172111964456604e+01 -1.763563105059843394e+01 -1.859411240339992588e+01
-6.776041666666666963e+00 5.229921036364841314e+01 -1.774443558264986365e+01 -1.871003154267267732e+01
-6.770833333333333037e+00 5.147155179177931217e+01 -1.785128283269764893e+01 -1.882400781048619010e+01
-6.765625000000000000e+00 5.068605837359157107e+01 -1.795130634776952050e+01 -1.893117697722893311e+01
-6.760416666666666963e+00 4.994793737013760193e+01 -1.805263133071919412e+01 -1.903966664965284039e+01
-6.755208333333333037e+00 4.925660963691009897e+01 -1.815701306573498996e+01 -1.915123407383281418e+01
-6.750000000000000000e+00 4.861049121612537505e+01 -1.824995209722307621e+01 -1.925138335774717291e+01
-6.744791666666666963e+00 4.801555711090841783e+01 -1.835168156003230777e+01 -1.936034920501106527e+01
-6.739583333333333037e+00 4.746939309954741759e+01 -1.844534343537743126e+01 -1.946127731683943551e+01
-6.734375000000000000e+00 4.697795121664469065e+01 -1.854046741639998430e+01 -1.956369907215714221e+01
-6.729166666666666963e+00 4.653863678092453426e+01 -1.862681999794736143e+01 -1.965738518769816068e+01
-6.723958333333333037e+00 4.615571903162634726e+01 -1.871172233671713769e+01 -1.974965842000005978e+01
-6.718750000000000000e+00 4.582974121397464273e+01 -1.880818992249742294e+01 -1.985353758104498922e+01
-6.713541666666666963e+00 4.556404149440238882e+01 -1.888734253226962068e+01 -1.994014424497122917e+01
