#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 8.719597505888878004e+02 -2.893138809355165364e+01 -3.465424647060290653e+01
-6.994791666666666963e+00 8.744028683458110436e+02 -3.500045748274703072e+01 -4.072605075032100075e+01
-6.989583333333333037e+00 8.745295386595315676e+02 -4.091127104182517371e+01 -4.664488856419080065e+01
-6.984375000000000000e+00 8.723900233141201852e+02 -4.655515620976696312e+01 -5.230184548914971288e+01
-6.979166666666666963e+00 8.682285018689384515e+02 -5.195874854835736301e+01 -5.772320392212510143e+01
-6.973958333333333037e+00 8.621639526262630397e+02 -5.839918488528862639e+01 -6.418580447252280408e+01
-6.968750000000000000e+00 8.543827261873965426e+02 -6.385629295882310430e+01 -6.966913945295944188e+01
-6.963541666666666963e+00 8.450595757102792049e+02 -6.832020249293242387e+01 -7.416300469129272699e+01
-6.958333333333333037e+00 8.344801627183006758e+02 -7.314895790851932134e+01 -7.902506209690913863e+01
-6.953125000000000000e+00 8.227338924646326177e+02 -7.856054117919514113e+01 -8.447302190743907602e+01
-6.947916666666666963e+00 8.100855321853642863e+02 -8.250710463337749445e+01 -8.845867780110638989e+01
-6.942708333333333037e+00 7.966633564961416596e+02 -8.584182041394450380e+01 -9.183491308066328429e+01
-6.937500000000000000e+00 7.826445891028497499e+02 -8.961725099890693969e+01 -9.565403530595574466e+01
-6.932291666666666963e+00 7.682417019778004033e+02 -9.321238460811208881e+01 -9.929472092784432391e+01
-6.927083333333333037e+00 7.535181459081220510e+02 -9.659813816048622925e+01 -1.027276847011302294e+02
-6.921875000000000000e+00 7.385947237572113409e+02 -9.946623170352248167e+01 -1.056444369167814159e+02
-6.916666666666666963e+00 7.236155270102826762e+02 -1.018355828418142863e+02 -1.080636845745621599e+02
-6.911458333333333037e+00 7.086714822363220492e+02 -1.052258309279718702e+02 -1.115048881123065883e+02
-6.906250000000000000e+00 6.937490600909907243e+02 -1.072061314237805334e+02 -1.135370960417560724e+02
-6.901041666666666963e+00 6.790198684346115670e+02 -1.093062599410432654e+02 -1.156898868357527732e+02
-6.895833333333333037e+00 6.644615850719497985e+02 -1.122233177765728982e+02 -1.186602924136630719e+02
-6.890625000000000000e+00 6.501330613537030558e+02 -1.134171166808317821e+02 -1.199080063221982329e+02
-6.885416666666666963e+00 6.361058198237867600e+02 -1.157527007215624479e+02 -1.222979665772824660e+02
-6.880208333333333037e+00 6.223670655150378934e+02 -1.176240366911160322e+02 -1.242240735900927859e+02
-6.875000000000000000e+00 6.089388793579097410e+02 -1.194148931917689680e+02 -1.260700330071020971e+02
-6.869791666666666963e+00 5.958309496661431695e+02 -1.210597972999050285e+02 -1.277703115948974926e+02
-6.864583333333333037e+00 5.830454766614305981e+02 -1.227682911335159019e+02 -1.295344098857000859e+02
-6.859375000000000000e+00 5.706251986416688169e+02 -1.241325219938332083e+02 -1.309544195177045083e+02
-6.854166666666666963e+00 5.585726091282280095e+02 -1.256128711537415086e+02 -1.324906794323629811e+02
-6.848958333333333037e+00 5.468478915369591959e+02 -1.269238057128173551e+02 -1.338576546694945648e+02
-6.843750000000000000e+00 5.354754798844961670e+02 -1.284386022210664748e+02 -1.354285906290158152e+02
-6.838541666666666963e+00 5.243612702782758106e+02 -1.294212514925523863e+02 -1.364674452952012587e+02
-6.833333333333333037e+00 5.136344784678428823e+02 -1.306674925444997086e+02 -1.377699606601685787e+02
-6.828125000000000000e+00 5.033173401967387122e+02 -1.320760978295716939e+02 -1.392348830546812337e+02
-6.822916666666666963e+00 4.933132771251262056e+02 -1.330463653341382440e+02 -1.402615187935116694e+02
-6.817708333333333037e+00 4.836556962325082623e+02 -1.342313327882847886e+02 -1.415028952066090824e+02
-6.812500000000000000e+00 4.743332341995862294e+02 -1.352967725476168255e+02 -1.426247859622190219e+02
-6.807291666666666963e+00 4.653400217261005309e+02 -1.363110330944043085e+02 -1.436955405342578729e+02
-6.802083333333333037e+00 4.566782390202781698e+02 -1.373339544338875839e+02 -1.447750037143446775e+02
-6.796875000000000000e+00 4.483534641393582092e+02 -1.383203843179925059e+02 -1.458180286820373794e+02
-6.791666666666666963e+00 4.403564672697856963e+02 -1.392639052026609079e+02 -1.468182081992078452e+02
-6.786458333333333037e+00 4.326936774409478517e+02 -1.401855043824451172e+02 -1.477965385782676435e+02
-6.781250000000000000e+00 4.253737689571565284e+02 -1.410850484047874716e+02 -1.487528992271994071e+02
-6.776041666666666963e+00 4.183936829091873051e+02 -1.419554846611989092e+02 -1.496802523413814185e+02
-6.770833333333333037e+00 4.117724143342344973e+02 -1.428102626615811914e+02 -1.505920624838895208e+02
-6.765625000000000000e+00 4.054884669887325686e+02 -1.436104507821561640e+02 -1.514494158178314649e+02
-6.760416666666666963e+00 3.995834989611008154e+02 -1.444210506457535530e+02 -1.523173331972227231e+02
-6.755208333333333037e+00 3.940528770952807918e+02 -1.452561045258799197e+02 -1.532098725906625134e+02
-6.750000000000000000e+00 3.888839297290030004e+02 -1.459996167777846097e+02 -1.540110668619773833e+02
-6.744791666666666963e+00 3.841244568872673426e+02 -1.468134524802584622e+02 -1.548827936400885221e+02
-6.739583333333333037e+00 3.797551447963793407e+02 -1.475627474830194501e+02 -1.556902185347154841e+02
-6.734375000000000000e+00 3.758236097331575252e+02 -1.483237393311998744e+02 -1.565095925772571377e+02
-6.729166666666666963e+00 3.723090942473962741e+02 -1.490145599835788914e+02 -1.572590815015852854e+02
-6.723958333333333037e+00 3.692457522530107781e+02 -1.496937786937371015e+02 -1.579972673600004782e+02
-6.718750000000000000e+00 3.666379297117971419e+02 -1.504655193799793835e+02 -1.588283006483599138e+02
-6.713541666666666963e+00 3.645123319552191106e+02 -1.510987402581569654e+02 -1.595211539597698334e+02
-6.708333333333333037e+00 3.627889449152388011e+02 -1.518084083175454850e+02 -1.602908353699814938e+02
-6.703125000000000000e+00 3.616179443359052357e+02 -1.524385676016112257e+02 -1.609813865357534155e+02
-6.697916666666666963e+00 3.609131704364705797e+02 -1.531002425214139464e+02 -1.617038663766989259e+02
-6.692708333333333037e+00 3.606991993280627753e+02 -1.537551600326718244e+02 -1.624200137590591737e+02
-6.687500000000000000e+00 3.609501223993247550e+02 -1.544195066433232171e+02 -1.631460463342260425e+02
-6.682291666666666963e+00 3.616904535163680521e+02 -1.550014402020979389e+02 -1.637901249140730044e+02
-6.677083333333333037e+00 3.629396601086845067e+02 -1.556331187248279662e+02 -1.644844299369930809e+02
-6.671875000000000000e+00 3.646408175332601331e+02 -1.562553407041571631e+02 -1.651697760183599257e+02
-6.666666666666666963e+00 3.668102433074285500e+02 -1.568397112987611308e+02 -1.658177813751296696e+02
-6.661458333333333037e+00 3.692953834249862552e+02 -1.573932164156263980e+02 -1.664354523507124384e+02
-6.656250000000000000e+00 3.723652155443376728e+02 -1.580078083837921668e+02 -1.671147409170289961e+02
-6.651041666666666963e+00 3.758338280977712316e+02 -1.585740778712908536e+02 -1.677462534554231297e+02
-6.645833333333333037e+00 3.795054724237303958e+02 -1.592880424667357602e+02 -1.685260295739203400e+02
-6.640625000000000000e+00 3.835567476371720659e+02 -1.601909906123383394e+02 -1.694953396199272504e+02
-6.635416666666666963e+00 3.878660634541614058e+02 -1.600692683483238739e+02 -1.694405761609606884e+02
-6.630208333333333037e+00 3.924718984889801163e+02 -1.606951506192781380e+02 -1.701339892681791639e+02
-6.625000000000000000e+00 3.973504511956460306e+02 -1.611420738284771801e+02 -1.706490376229392041e+02
-6.619791666666666963e+00 4.023557223514565067e+02 -1.615189573644786378e+02 -1.710946574675875240e+02
-6.614583333333333037e+00 4.075516827079015343e+02 -1.626905226037515604e+02 -1.723355637220867038e+02
-6.609375000000000000e+00 4.131583165694203785e+02 -1.628350190176708736e+02 -1.725499778938932138e+02
-6.604166666666666963e+00 4.186368021826245922e+02 -1.637198638429763946e+02 -1.735053853595832152e+02
-6.598958333333333037e+00 4.240506078879273559e+02 -1.640766686358474544e+02 -1.739333851636440613e+02
-6.593750000000000000e+00 4.296574897061080378e+02 -1.644084961412988548e+02 -1.743370023235997905e+02
-6.588541666666666963e+00 4.354207391677452961e+02 -1.651960878458042430e+02 -1.751970077573822380e+02
-6.583333333333333037e+00 4.411835291824377236e+02 -1.650540260203090952e+02 -1.751280322630113062e+02
-6.578125000000000000e+00 4.470582031032258783e+02 -1.658921904811195986e+02 -1.760398862383435130e+02
-6.572916666666666963e+00 4.529279156630530565e+02 -1.666078870914424783e+02 -1.768299275411953317e+02
-6.567708333333333037e+00 4.587323654058592979e+02 -1.674764301162402376e+02 -1.777734731222616631e+02
-6.562500000000000000e+00 4.645880353915484875e+02 -1.670215116633406467e+02 -1.773941924213345658e+02
-6.557291666666666963e+00 4.704197887316162792e+02 -1.675254755134320703e+02 -1.779744621817167456e+02
-6.552083333333333037e+00 4.762762056997567015e+02 -1.682545995917357686e+02 -1.787805362406150778e+02
-6.546875000000000000e+00 4.820996177393680000e+02 -1.694705011224278337e+02 -1.800740572933020474e+02
-6.541666666666666963e+00 4.879211162985349688e+02 -1.693983383181841305e+02 -1.800801832702761374e+02
-6.536458333333333037e+00 4.937879273568128156e+02 -1.702267370612819093e+02 -1.809875302916665305e+02
-6.531250000000000000e+00 4.996220434638050847e+02 -1.707943849080174346e+02 -1.816348071995404609e+02
-6.526041666666666963e+00 5.054665667252577350e+02 -1.714646389419868058e+02 -1.823853711900164001e+02
-6.520833333333333037e+00 5.113010338469402427e+02 -1.719965552686482511e+02 -1.829982988767563654e+02
-6.515625000000000000e+00 5.171969745802441594e+02 -1.727012551793714294e+02 -1.837846922621752697e+02
-6.510416666666666963e+00 5.231476984424238026e+02 -1.733305615655779377e+02 -1.844963597326058107e+02
-6.505208333333333037e+00 5.291228375726390141e+02 -1.739918859539031644e+02 -1.852407642140046846e+02
-6.500000000000000000e+00 5.351471047919122839e+02 -1.746885985382916147e+02 -1.860212509412557154e+02
-6.494791666666666963e+00 5.412349440912776117e+02 -1.753744409073537440e+02 -1.867915662605647924e+02
-6.489583333333333037e+00 5.473891464648764895e+02 -1.760764934194779983e+02 -1.875787971031293466e+02
-6.484375000000000000e+00 5.536019079656397253e+02 -1.768683296719406144e+02 -1.884565219253465500e+02
-6.479166666666666963e+00 5.599148536676352705e+02 -1.775654622694858347e+02 -1.892402445092652954e+02
-6.473958333333333037e+00 5.663032929853688984e+02 -1.782596299218822367e+02 -1.900217211201018586e+02
-6.468750000000000000e+00 5.727812175837203768e+02 -1.790437672349320906e+02 -1.908938828421385665e+02
-6.463541666666666963e+00 5.793755454780615537e+02 -1.798092725217989596e+02 -1.917481097974031172e+02
-6.458333333333333037e+00 5.860338320819084856e+02 -1.805623061428259177e+02 -1.925906131172681057e+02
-6.453125000000000000e+00 5.928576347367111339e+02 -1.816738726127178722e+02 -1.937923256737319946e+02
-6.447916666666666963e+00 5.997813433723083563e+02 -1.823261049896130430e+02 -1.945354329458702409e+02
-6.442708333333333037e+00 6.068158197520220938e+02 -1.832121586052621751e+02 -1.955130805748088108e+02
-6.437500000000000000e+00 6.140021161899844628e+02 -1.838716055348087366e+02 -1.962648203982851953e+02
-6.432291666666666963e+00 6.213188722021086505e+02 -1.845331403106151242e+02 -1.970193671289906945e+02
-6.427083333333333037e+00 6.287879164291139205e+02 -1.855828716480592675e+02 -1.981628028169884601e+02
-6.421875000000000000e+00 6.363894451012623676e+02 -1.863033470248576577e+02 -1.989777010160733539e+02
-6.416666666666666963e+00 6.441546435181530796e+02 -1.866584200594458878e+02 -1.994278817079747057e+02
-6.411458333333333037e+00 6.520609950724893906e+02 -1.876646367790416718e+02 -2.005299171894883443e+02
-6.406250000000000000e+00 6.601264346520044910e+02 -1.888247985044598636e+02 -2.017865826933838491e+02
-6.401041666666666963e+00 6.683187287737961242e+02 -1.895484649540869100e+02 -2.026074596438083972e+02
-6.395833333333333037e+00 6.766550144290339404e+02 -1.901110111675428698e+02 -2.032679073077806891e+02
-6.390625000000000000e+00 6.851627312461445172e+02 -1.913192228259820524e+02 -2.045746773359523729e+02
-6.385416666666666963e+00 6.937874926297970433e+02 -1.917001074512477032e+02 -2.050548181090990738e+02
-6.380208333333333037e+00 7.025663343610740412e+02 -1.925579941293122772e+02 -2.060126146075544398e+02
-6.375000000000000000e+00 7.114854840570179704e+02 -1.933349894844206460e+02 -2.068901795158245704e+02
-6.369791666666666963e+00 7.205581417266869266e+02 -1.939140930871703574e+02 -2.075704786144216598e+02
-6.364583333333333037e+00 7.297784588799818266e+02 -1.948423760501527511e+02 -2.086005828503373607e+02
-6.359375000000000000e+00 7.391489748751262141e+02 -1.952082783946849815e+02 -2.090689145406291800e+02
-6.354166666666666963e+00 7.486751796363515723e+02 -1.958669361514436673e+02 -2.098305834450682426e+02
-6.348958333333333037e+00 7.583371161661108317e+02 -1.962568461792577637e+02 -2.103240960636510977e+02
