#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 1.743919501177775601e+03 -5.786277618710330728e+01 -6.930849294120581305e+01
-6.994791666666666963e+00 1.748805736691622087e+03 -7.000091496549406145e+01 -8.145210150064200150e+01
-6.989583333333333037e+00 1.749059077319063135e+03 -8.182254208365034742e+01 -9.328977712838160130e+01
-6.984375000000000000e+00 1.744780046628240370e+03 -9.311031241953392623e+01 -1.046036909782994258e+02
-6.979166666666666963e+00 1.736457003737876903e+03 -1.039174970967147260e+02 -1.154464078442502029e+02
-6.973958333333333037e+00 1.724327905252526079e+03 -1.167983697705772528e+02 -1.283716089450456082e+02
-6.968750000000000000e+00 1.708765452374793085e+03 -1.277125859176462086e+02 -1.393382789059188838e+02
-6.963541666666666963e+00 1.690119151420558410e+03 -1.366404049858648477e+02 -1.483260093825854540e+02
-6.958333333333333037e+00 1.668960325436601352e+03 -1.462979158170386427e+02 -1.580501241938182773e+02
-6.953125000000000000e+00 1.645467784929265235e+03 -1.571210823583902823e+02 -1.689460438148781520e+02
-6.947916666666666963e+00 1.620171064370728573e+03 -1.650142092667549889e+02 -1.769173556022127798e+02
-6.942708333333333037e+00 1.593326712992283319e+03 -1.716836408278890076e+02 -1.836698261613265686e+02
-6.937500000000000000e+00 1.565289178205699500e+03 -1.792345019978138794e+02 -1.913080706119114893e+02
-6.932291666666666963e+00 1.536483403955600807e+03 -1.864247692162241776e+02 -1.985894418556886478e+02
-6.927083333333333037e+00 1.507036291816244102e+03 -1.931962763209724585e+02 -2.054553694022604589e+02
-6.921875000000000000e+00 1.477189447514422682e+03 -1.989324634070449633e+02 -2.112888738335628318e+02
-6.916666666666666963e+00 1.447231054020565352e+03 -2.036711656836285727e+02 -2.161273691491243198e+02
-6.911458333333333037e+00 1.417342964472644098e+03 -2.104516618559437404e+02 -2.230097762246131765e+02
-6.906250000000000000e+00 1.387498120181981449e+03 -2.144122628475610668e+02 -2.270741920835121448e+02
-6.901041666666666963e+00 1.358039736869223134e+03 -2.186125198820865307e+02 -2.313797736715055464e+02
-6.895833333333333037e+00 1.328923170143899597e+03 -2.244466355531457964e+02 -2.373205848273261438e+02
-6.890625000000000000e+00 1.300266122707406112e+03 -2.268342333616635642e+02 -2.398160126443964657e+02
-6.885416666666666963e+00 1.272211639647573520e+03 -2.315054014431248959e+02 -2.445959331545649320e+02
-6.880208333333333037e+00 1.244734131030075787e+03 -2.352480733822320644e+02 -2.484481471801855719e+02
-6.875000000000000000e+00 1.217877758715819482e+03 -2.388297863835379360e+02 -2.521400660142041943e+02
-6.869791666666666963e+00 1.191661899332286339e+03 -2.421195945998100569e+02 -2.555406231897949851e+02
-6.864583333333333037e+00 1.166090953322861196e+03 -2.455365822670318039e+02 -2.590688197714001717e+02
-6.859375000000000000e+00 1.141250397283337634e+03 -2.482650439876664166e+02 -2.619088390354090166e+02
-6.854166666666666963e+00 1.117145218256456019e+03 -2.512257423074830172e+02 -2.649813588647259621e+02
-6.848958333333333037e+00 1.093695783073918392e+03 -2.538476114256347103e+02 -2.677153093389891296e+02
-6.843750000000000000e+00 1.070950959768992334e+03 -2.568772044421329497e+02 -2.708571812580316305e+02
-6.838541666666666963e+00 1.048722540556551621e+03 -2.588425029851047725e+02 -2.729348905904025173e+02
-6.833333333333333037e+00 1.027268956935685765e+03 -2.613349850889994173e+02 -2.755399213203371573e+02
-6.828125000000000000e+00 1.006634680393477424e+03 -2.641521956591433877e+02 -2.784697661093624674e+02
-6.822916666666666963e+00 9.866265542502524113e+02 -2.660927306682764879e+02 -2.805230375870233388e+02
-6.817708333333333037e+00 9.673113924650165245e+02 -2.684626655765695773e+02 -2.830057904132181648e+02
-6.812500000000000000e+00 9.486664683991724587e+02 -2.705935450952336510e+02 -2.852495719244380439e+02
-6.807291666666666963e+00 9.306800434522010619e+02 -2.726220661888086170e+02 -2.873910810685157458e+02
-6.802083333333333037e+00 9.133564780405563397e+02 -2.746679088677751679e+02 -2.895500074286893550e+02
-6.796875000000000000e+00 8.967069282787164184e+02 -2.766407686359850118e+02 -2.916360573640747589e+02
-6.791666666666666963e+00 8.807129345395713926e+02 -2.785278104053218158e+02 -2.936364163984156903e+02
-6.786458333333333037e+00 8.653873548818957033e+02 -2.803710087648902345e+02 -2.955930771565352870e+02
-6.781250000000000000e+00 8.507475379143130567e+02 -2.821700968095749431e+02 -2.975057984543988141e+02
-6.776041666666666963e+00 8.367873658183746102e+02 -2.839109693223978184e+02 -2.993605046827628371e+02
-6.770833333333333037e+00 8.235448286684689947e+02 -2.856205253231623828e+02 -3.011841249677790415e+02
-6.765625000000000000e+00 8.109769339774651371e+02 -2.872209015643123280e+02 -3.028988316356629298e+02
-6.760416666666666963e+00 7.991669979222016309e+02 -2.888421012915071060e+02 -3.046346663944454463e+02
-6.755208333333333037e+00 7.881057541905615835e+02 -2.905122090517598394e+02 -3.064197451813250268e+02
-6.750000000000000000e+00 7.777678594580060008e+02 -2.919992335555692193e+02 -3.080221337239547665e+02
-6.744791666666666963e+00 7.682489137745346852e+02 -2.936269049605169243e+02 -3.097655872801770442e+02
-6.739583333333333037e+00 7.595102895927586815e+02 -2.951254949660389002e+02 -3.113804370694309682e+02
-6.734375000000000000e+00 7.516472194663150503e+02 -2.966474786623997488e+02 -3.130191851545142754e+02
-6.729166666666666963e+00 7.446181884947925482e+02 -2.980291199671577829e+02 -3.145181630031705708e+02
-6.723958333333333037e+00 7.384915045060215562e+02 -2.993875573874742031e+02 -3.159945347200009564e+02
-6.718750000000000000e+00 7.332758594235942837e+02 -3.009310387599587671e+02 -3.176566012967198276e+02
-6.713541666666666963e+00 7.290246639104382211e+02 -3.021974805163139308e+02 -3.190423079195396667e+02
-6.708333333333333037e+00 7.255778898304776021e+02 -3.036168166350909701e+02 -3.205816707399629877e+02
-6.703125000000000000e+00 7.232358886718104714e+02 -3.048771352032224513e+02 -3.219627730715068310e+02
-6.697916666666666963e+00 7.218263408729411594e+02 -3.062004850428278928e+02 -3.234077327533978519e+02
-6.692708333333333037e+00 7.213983986561255506e+02 -3.075103200653436488e+02 -3.248400275181183474e+02
-6.687500000000000000e+00 7.219002447986495099e+02 -3.088390132866464342e+02 -3.262920926684520850e+02
-6.682291666666666963e+00 7.233809070327361042e+02 -3.100028804041958779e+02 -3.275802498281460089e+02
-6.677083333333333037e+00 7.258793202173690133e+02 -3.112662374496559323e+02 -3.289688598739861618e+02
-6.671875000000000000e+00 7.292816350665202663e+02 -3.125106814083143263e+02 -3.303395520367198515e+02
-6.666666666666666963e+00 7.336204866148571000e+02 -3.136794225975222616e+02 -3.316355627502593393e+02
-6.661458333333333037e+00 7.385907668499725105e+02 -3.147864328312527959e+02 -3.328709047014248767e+02
-6.656250000000000000e+00 7.447304310886753456e+02 -3.160156167675843335e+02 -3.342294818340579923e+02
-6.651041666666666963e+00 7.516676561955424631e+02 -3.171481557425817073e+02 -3.354925069108462594e+02
-6.645833333333333037e+00 7.590109448474607916e+02 -3.185760849334715203e+02 -3.370520591478406800e+02
-6.640625000000000000e+00 7.671134952743441318e+02 -3.203819812246766787e+02 -3.389906792398545008e+02
-6.635416666666666963e+00 7.757321269083228117e+02 -3.201385366966477477e+02 -3.388811523219213768e+02
