#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 2.615879251766662946e+03 -8.679416428065496802e+01 -1.039627394118087267e+02
-6.994791666666666963e+00 2.623208605037432335e+03 -1.050013724482410851e+02 -1.221781522509629951e+02
-6.989583333333333037e+00 2.623588615978594589e+03 -1.227338131254755069e+02 -1.399346656925723948e+02
-6.984375000000000000e+00 2.617170069942359987e+03 -1.396654686293008467e+02 -1.569055364674491102e+02
-6.979166666666666963e+00 2.604685505606814786e+03 -1.558762456450720890e+02 -1.731696117663753114e+02
-6.973958333333333037e+00 2.586491857878788778e+03 -1.751975546558659005e+02 -1.925574134175684264e+02
-6.968750000000000000e+00 2.563148178562189059e+03 -1.915688788764692845e+02 -2.090074183588782830e+02
-6.963541666666666963e+00 2.535178727130837160e+03 -2.049606074787972716e+02 -2.224890140738781952e+02
-6.958333333333333037e+00 2.503440488154901686e+03 -2.194468737255579356e+02 -2.370751862907274017e+02
-6.953125000000000000e+00 2.468201677393897626e+03 -2.356816235375854092e+02 -2.534190657223172138e+02
-6.947916666666666963e+00 2.430256596556092063e+03 -2.475213139001324976e+02 -2.653760334033191839e+02
-6.942708333333333037e+00 2.389990069488424069e+03 -2.575254612418334546e+02 -2.755047392419897960e+02
-6.937500000000000000e+00 2.347933767308548795e+03 -2.688517529967207906e+02 -2.869621059178672340e+02
-6.932291666666666963e+00 2.304725105933400755e+03 -2.796371538243362238e+02 -2.978841627835329291e+02
-6.927083333333333037e+00 2.260554437724365926e+03 -2.897944144814586025e+02 -3.081830541033906457e+02
-6.921875000000000000e+00 2.215784171271633568e+03 -2.983986951105674166e+02 -3.169333107503442193e+02
-6.916666666666666963e+00 2.170846581030847574e+03 -3.055067485254428448e+02 -3.241910537236864229e+02
-6.911458333333333037e+00 2.126014446708965806e+03 -3.156774927839156248e+02 -3.345146643369197932e+02
-6.906250000000000000e+00 2.081247180272971946e+03 -3.216183942713415718e+02 -3.406112881252681746e+02
-6.901041666666666963e+00 2.037059605303834360e+03 -3.279187798231297393e+02 -3.470696605072582202e+02
-6.895833333333333037e+00 1.993384755215849054e+03 -3.366699533297186804e+02 -3.559808772409892299e+02
-6.890625000000000000e+00 1.950399184061108826e+03 -3.402513500424953463e+02 -3.597240189665946559e+02
-6.885416666666666963e+00 1.908317459471360053e+03 -3.472581021646873864e+02 -3.668938997318473980e+02
-6.880208333333333037e+00 1.867101196545113226e+03 -3.528721100733480398e+02 -3.726722207702783294e+02
-6.875000000000000000e+00 1.826816638073729109e+03 -3.582446795753069182e+02 -3.782100990213062914e+02
-6.869791666666666963e+00 1.787492848998429281e+03 -3.631793918997150286e+02 -3.833109347846924493e+02
-6.864583333333333037e+00 1.749136429984291453e+03 -3.683048734005475353e+02 -3.886032296571000870e+02
-6.859375000000000000e+00 1.711875595925006110e+03 -3.723975659814996675e+02 -3.928632585531135533e+02
-6.854166666666666963e+00 1.675717827384683915e+03 -3.768386134612245542e+02 -3.974720382970889432e+02
-6.848958333333333037e+00 1.640543674610877360e+03 -3.807714171384520228e+02 -4.015729640084836660e+02
-6.843750000000000000e+00 1.606426439653488387e+03 -3.853158066631993393e+02 -4.062857718870473605e+02
-6.838541666666666963e+00 1.573083810834827091e+03 -3.882637544776570735e+02 -4.094023358856036907e+02
-6.833333333333333037e+00 1.540903435403528420e+03 -3.920024776334989838e+02 -4.133098819805056223e+02
-6.828125000000000000e+00 1.509952020590215852e+03 -3.962282934887150532e+02 -4.177046491640437011e+02
-6.822916666666666963e+00 1.479939831375378617e+03 -3.991390960024146466e+02 -4.207845563805349798e+02
-6.817708333333333037e+00 1.450967088697524787e+03 -4.026939983648543375e+02 -4.245086856198271903e+02
-6.812500000000000000e+00 1.422999702598758404e+03 -4.058903176428504480e+02 -4.278743578866570374e+02
-6.807291666666666963e+00 1.396020065178301365e+03 -4.089330992832128686e+02 -4.310866216027735618e+02
-6.802083333333333037e+00 1.370034717060834282e+03 -4.120018633016628087e+02 -4.343250111430340894e+02
-6.796875000000000000e+00 1.345060392418074343e+03 -4.149611529539774892e+02 -4.374540860461120815e+02
-6.791666666666666963e+00 1.321069401809356805e+03 -4.177917156079826100e+02 -4.404546245976234218e+02
-6.786458333333333037e+00 1.298081032322843157e+03 -4.205565131473352949e+02 -4.433896157348028737e+02
-6.781250000000000000e+00 1.276121306871469415e+03 -4.232551452143623578e+02 -4.462586976815981643e+02
-6.776041666666666963e+00 1.255181048727561802e+03 -4.258664539835966707e+02 -4.490407570241441704e+02
-6.770833333333333037e+00 1.235317243002703435e+03 -4.284307879847435174e+02 -4.517761874516685339e+02
