#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 6.539698129416657366e+02 -2.169854107016374201e+01 -2.599068485295218167e+01
-6.994791666666666963e+00 6.558021512593580837e+02 -2.625034311206027127e+01 -3.054453806274074879e+01
-6.989583333333333037e+00 6.558971539946486473e+02 -3.068345328136887673e+01 -3.498366642314309871e+01
-6.984375000000000000e+00 6.542925174855899968e+02 -3.491636715732521168e+01 -3.922638411686227755e+01
-6.979166666666666963e+00 6.511713764017036965e+02 -3.896906141126802225e+01 -4.329240294159382785e+01
-6.973958333333333037e+00 6.466229644696971945e+02 -4.379938866396647512e+01 -4.813935335439210661e+01
-6.968750000000000000e+00 6.407870446405472649e+02 -4.789221971911732112e+01 -5.225185458971957075e+01
-6.963541666666666963e+00 6.337946817827092900e+02 -5.124015186969931790e+01 -5.562225351846954879e+01
-6.958333333333333037e+00 6.258601220387254216e+02 -5.486171843138948390e+01 -5.926879657268185042e+01
-6.953125000000000000e+00 6.170504193484744064e+02 -5.892040588439635229e+01 -6.335476643057930346e+01
-6.947916666666666963e+00 6.075641491390230158e+02 -6.188032847503312439e+01 -6.634400835082979597e+01
-6.942708333333333037e+00 5.974975173721060173e+02 -6.438136531045836364e+01 -6.887618481049744901e+01
-6.937500000000000000e+00 5.869834418271371987e+02 -6.721293824918019766e+01 -7.174052647946680850e+01
-6.932291666666666963e+00 5.761812764833501888e+02 -6.990928845608405595e+01 -7.447104069588323227e+01
-6.927083333333333037e+00 5.651386094310914814e+02 -7.244860362036465062e+01 -7.704576352584766141e+01
-6.921875000000000000e+00 5.539460428179083920e+02 -7.459967377764185414e+01 -7.923332768758605482e+01
-6.916666666666666963e+00 5.427116452577118935e+02 -7.637668713136071119e+01 -8.104776343092160573e+01
-6.911458333333333037e+00 5.315036116772414516e+02 -7.891937319597890621e+01 -8.362866608422994830e+01
-6.906250000000000000e+00 5.203117950682429864e+02 -8.040459856783539294e+01 -8.515282203131704364e+01
