#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 5.449748441180548753e+02 -1.808211755846978974e+01 -2.165890404412682102e+01
-6.994791666666666963e+00 5.465017927161318312e+02 -2.187528592671689509e+01 -2.545378171895062636e+01
-6.989583333333333037e+00 5.465809616622073008e+02 -2.556954440114073179e+01 -2.915305535261925129e+01
-6.984375000000000000e+00 5.452437645713251868e+02 -2.909697263110435017e+01 -3.268865343071856699e+01
-6.979166666666666963e+00 5.426428136680864327e+02 -3.247421784272335543e+01 -3.607700245132819106e+01
-6.973958333333333037e+00 5.388524703914143856e+02 -3.649949055330539238e+01 -4.011612779532675432e+01
-6.968750000000000000e+00 5.339892038671227965e+02 -3.991018309926443663e+01 -4.354321215809964940e+01
-6.963541666666666963e+00 5.281622348189245031e+02 -4.270012655808276492e+01 -4.635187793205795970e+01
-6.958333333333333037e+00 5.215501016989378513e+02 -4.571809869282457583e+01 -4.939066381056821342e+01
-6.953125000000000000e+00 5.142086827903954145e+02 -4.910033823699696143e+01 -5.279563869214942429e+01
-6.947916666666666963e+00 5.063034576158526079e+02 -5.156694039586093226e+01 -5.528667362569149191e+01
-6.942708333333333037e+00 4.979145978100884236e+02 -5.365113775871530066e+01 -5.739682067541453847e+01
-6.937500000000000000e+00 4.891528681892810368e+02 -5.601078187431683375e+01 -5.978377206622234041e+01
-6.932291666666666963e+00 4.801510637361253089e+02 -5.825774038007004663e+01 -6.205920057990270067e+01
-6.927083333333333037e+00 4.709488411925762534e+02 -6.037383635030389684e+01 -6.420480293820639872e+01
-6.921875000000000000e+00 4.616217023482570880e+02 -6.216639481470154749e+01 -6.602777307298838139e+01
-6.916666666666666963e+00 4.522597043814266726e+02 -6.364723927613392362e+01 -6.753980285910134285e+01
-6.911458333333333037e+00 4.429196763977013234e+02 -6.576614432998242421e+01 -6.969055507019162121e+01
-6.906250000000000000e+00 4.335931625568691743e+02 -6.700383213986283693e+01 -7.096068502609755058e+01
-6.901041666666666963e+00 4.243874177716322151e+02 -6.831641246315204796e+01 -7.230617927234548858e+01
-6.895833333333333037e+00 4.152884906699686098e+02 -7.013957361035807025e+01 -7.416268275853943237e+01
-6.890625000000000000e+00 4.063331633460643957e+02 -7.088569792551987803e+01 -7.494250395137390797e+01
-6.885416666666666963e+00 3.975661373898666966e+02 -7.234543795097654595e+01 -7.643622911080154836e+01
-6.880208333333333037e+00 3.889794159468986550e+02 -7.351502293194752724e+01 -7.764004599380800187e+01
-6.875000000000000000e+00 3.805867995986935739e+02 -7.463430824485560322e+01 -7.879377062943881072e+01
-6.869791666666666963e+00 3.723943435413395378e+02 -7.566237331244064990e+01 -7.985644474681093641e+01
-6.864583333333333037e+00 3.644034229133940812e+02 -7.673018195844741740e+01 -8.095900617856253234e+01
-6.859375000000000000e+00 3.566407491510429963e+02 -7.758282624614577117e+01 -8.184651219856533544e+01
-6.854166666666666963e+00 3.491078807051425201e+02 -7.850804447108843931e+01 -8.280667464522686316e+01
-6.848958333333333037e+00 3.417799322105994975e+02 -7.932737857051085939e+01 -8.366103416843411367e+01
-6.843750000000000000e+00 3.346721749278100901e+02 -8.027412638816655033e+01 -8.464286914313488808e+01
-6.838541666666666963e+00 3.277257939239223674e+02 -8.088828218284523075e+01 -8.529215330950077600e+01
-6.833333333333333037e+00 3.210215490424018299e+02 -8.166718284031230723e+01 -8.610622541260535456e+01
-6.828125000000000000e+00 3.145733376229616738e+02 -8.254756114348231222e+01 -8.702180190917577818e+01
-6.822916666666666963e+00 3.083207982032038785e+02 -8.315397833383639181e+01 -8.766344924594478982e+01
-6.817708333333333037e+00 3.022848101453176923e+02 -8.389458299267799646e+01 -8.843930950413067649e+01
-6.812500000000000000e+00 2.964582713747414005e+02 -8.456048284226051237e+01 -8.914049122638688516e+01
-6.807291666666666963e+00 2.908375135788128318e+02 -8.519439568400269991e+01 -8.980971283391117765e+01
-6.802083333333333037e+00 2.854238993876738277e+02 -8.583372152117976839e+01 -9.048437732146544477e+01
-6.796875000000000000e+00 2.802209150870988879e+02 -8.645024019874533394e+01 -9.113626792627337636e+01
-6.791666666666666963e+00 2.752227920436160389e+02 -8.703994075166306743e+01 -9.176138012450489612e+01
-6.786458333333333037e+00 2.704335484005923718e+02 -8.761594023902819117e+01 -9.237283661141727009e+01
-6.781250000000000000e+00 2.658586055982228231e+02 -8.817815525299216972e+01 -9.297056201699962230e+01
-6.776041666666666963e+00 2.614960518182420515e+02 -8.872217791324931113e+01 -9.355015771336337593e+01
-6.770833333333333037e+00 2.573577589588965679e+02 -8.925641416348823043e+01 -9.412003905243093982e+01
-6.765625000000000000e+00 2.534302918679578340e+02 -8.975653173884759894e+01 -9.465588488614466200e+01
-6.760416666666666963e+00 2.497396868506880026e+02 -9.026315665359597062e+01 -9.519833324826420551e+01
