#1.zgrid 2.kperp 3.omd_curv 4.omd_gradB
-7.000000000000000000e+00 4.359798752944439002e+02 -1.446569404677582682e+01 -1.732712323530145326e+01
-6.994791666666666963e+00 4.372014341729055218e+02 -1.750022874137351536e+01 -2.036302537516050037e+01
-6.989583333333333037e+00 4.372647693297657838e+02 -2.045563552091258686e+01 -2.332244428209540033e+01
-6.984375000000000000e+00 4.361950116570600926e+02 -2.327757810488348156e+01 -2.615092274457485644e+01
-6.979166666666666963e+00 4.341142509344692257e+02 -2.597937427417868150e+01 -2.886160196106255071e+01
-6.973958333333333037e+00 4.310819763131315199e+02 -2.919959244264431319e+01 -3.209290223626140204e+01
-6.968750000000000000e+00 4.271913630936982713e+02 -3.192814647941155215e+01 -3.483456972647972094e+01
-6.963541666666666963e+00 4.225297878551396025e+02 -3.416010124646621193e+01 -3.708150234564636349e+01
-6.958333333333333037e+00 4.172400813591503379e+02 -3.657447895425966067e+01 -3.951253104845456932e+01
-6.953125000000000000e+00 4.113669462323163089e+02 -3.928027058959757056e+01 -4.223651095371953801e+01
-6.947916666666666963e+00 4.050427660926821432e+02 -4.125355231668874723e+01 -4.422933890055319495e+01
-6.942708333333333037e+00 3.983316782480708298e+02 -4.292091020697225190e+01 -4.591745654033164215e+01
-6.937500000000000000e+00 3.913222945514248750e+02 -4.480862549945346984e+01 -4.782701765297787233e+01
-6.932291666666666963e+00 3.841208509889002016e+02 -4.660619230405604441e+01 -4.964736046392216195e+01
-6.927083333333333037e+00 3.767590729540610255e+02 -4.829906908024311463e+01 -5.136384235056511471e+01
-6.921875000000000000e+00 3.692973618786056704e+02 -4.973311585176124083e+01 -5.282221845839070795e+01
-6.916666666666666963e+00 3.618077635051413381e+02 -5.091779142090714316e+01 -5.403184228728107996e+01
-6.911458333333333037e+00 3.543357411181610246e+02 -5.261291546398593511e+01 -5.575244405615329413e+01
-6.906250000000000000e+00 3.468745300454953622e+02 -5.360306571189026670e+01 -5.676854802087803620e+01
-6.901041666666666963e+00 3.395099342173057835e+02 -5.465312997052163269e+01 -5.784494341787638660e+01
-6.895833333333333037e+00 3.322307925359748992e+02 -5.611165888828644910e+01 -5.933014620683153595e+01
-6.890625000000000000e+00 3.250665306768515279e+02 -5.670855834041589105e+01 -5.995400316109911643e+01
-6.885416666666666963e+00 3.180529099118933800e+02 -5.787635036078122397e+01 -6.114898328864123300e+01
-6.880208333333333037e+00 3.111835327575189467e+02 -5.881201834555801611e+01 -6.211203679504639297e+01
-6.875000000000000000e+00 3.044694396789548705e+02 -5.970744659588448400e+01 -6.303501650355104857e+01
