# x0 = 0.975
# diagdir ='/global/cscratch1/sd/drhatch/ETG_archives/AUGB1_ETG2/scanfiles0002' 
10.0	other
20.0	other
40.0	other
50.0	other
60.0	other
80.0	other
120.0	other
160.0	other
240.0	other
